,ref_id,userId,id,title,price,type,sq_feet,availability,avdate,location,thumb,thumb2,slide,link,latitude,longitude,marker,address,address_hidden,city,province,intro,community,quadrant,phone,phone_2,preferred_contact,website,email,smoking,lease_term,garage_size,status,book_tour,v,s,f,bedrooms,den,baths,cats,dogs,utilities_included,features
0,533268,1343758,533268,Maple House at Canary Landing,2251 - 4804,Apartment,"483, 513, 488, 511, 516, 525, 527, 556, 562, 567, 569, 582, 595, 608, 668, 708, 769, 784, 792, 794, 807, 816, 870, 881, 995, 1005, 1142, 911, 1114, 773, 538, 703, 834",Immediate,"Immediate, January 07, February 07, January 20, December 15, December 07",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533268/thumber_11320903.v.4018d635de75943234b4000caf7c3e53.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533268/thumber_11320903.v.4018d635de75943234b4000caf7c3e53.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533268/slide_11320903.v.4018d635de75943234b4000caf7c3e53.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/533268,43.651403500000,-79.357129700000,46c76e0bc5f97e6f80fbe75ea7c71e78,131 Mill Street,False,Toronto,Ontario,131 Mill Street,,,2898048187,,Phone||Text||Email,http://www.liveatmaplehouse.com?rccustomid=NTUxMTk%3d-Wsjhio0XG7Q%3d,1,,Long Term,underground,active,,3,RSYNC,2,1 - 3,No,1 - 2.5,True,True,False,"['Elevator', 'Zero-Step Entrance', 'City views', 'Air Conditioning']"
1,538223,392496,538223,IMMIX,2615 - 5175,Apartment,"700, 444, 460, 693, 610, 463, 506, 664, 500, 691, 842, 959, 692",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/538223/thumber_10992869.v.b7df3ee4ae43b7ea011c90f0bde575bf.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/538223/thumber_10992869.v.b7df3ee4ae43b7ea011c90f0bde575bf.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/538223/slide_10992869.v.b7df3ee4ae43b7ea011c90f0bde575bf.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/538223,43.662642300000,-79.384847600000,2bd84b95b4821fa04cc144eab3704776,7 Grosvenor Street,False,Toronto,Ontario,7 Grosvenor Street,,,6479513739,,Phone||Text||Email,https://www.rentimmix.ca/,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,"No, Yes",1 - 2,True,True,False,
2,309238,104722,309238,"Pet-Friendly, Renovated Suites in High Park with Breathtaking Views",1999 - 3049,Apartment,,Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309238/thumber_10675741.v.172742528c758f26ea91c166ff79c51e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309238/thumber_10675741.v.172742528c758f26ea91c166ff79c51e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309238/slide_10675741.v.172742528c758f26ea91c166ff79c51e.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/309238,43.656427654747,-79.464444606082,82460ad5cb8721421fd76f840441f878,111 Pacific Avenue,False,Toronto,Ontario,111 Pacific Avenue,,,3656458263,,Phone||Text||Email,https://www.mintoapartments.com/gta/Toronto-apartment-rentals/High-Park-Village/main.html?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=High%20Park%20Village,1,Non-Smoking,Long Term,"underground, outdoor",active,,3,RSYNC,2,studio - 2,No,1,True,True,"['Water', 'Heat']","['Elevator', 'Laundry - Shared', 'Storage Lockers', 'Fridge']"
3,517914,179035,517914,FourFifty The Well,2376 - 6762,Apartment,"479, 480, 526, 534, 525, 524, 878, 850, 928, 794, 1097, 662, 1227, 968",Immediate,"Immediate, January 07",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/517914/thumber_9616139.v.168df7615f6ec9368da0dab6ca919d90.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/517914/thumber_9616139.v.168df7615f6ec9368da0dab6ca919d90.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/517914/slide_9616139.v.168df7615f6ec9368da0dab6ca919d90.jpg,/on/toronto/rentals/apartment/1-bedroom/non-smoking/517914,43.642419700000,-79.396621300000,5f72137be4e27428eccb5b9b337c461d,450 Front Street West,False,Toronto,Ontario,450 Front Street West,,,2895365022,,Phone||Text||Email,,1,Non-Smoking,Long Term,,active,,3,RSYNC,2,studio - 3,No,1 - 3,False,False,False,"['Air Conditioning', 'Microwave', 'Window Coverings', 'Dishwasher']"
4,596250,64025,596250,Sloane,2025 - 4750,Apartment,"773, 982, 540, 532, 991, 357, 721, 508, 514, 777, 994, 493, 504, 537, 851, 658, 898, 812, 866, 573, 835",Immediate,"Immediate, March 01",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/596250/thumber_11390062.v.4664d1bce8f7f7b8d4dbe59764bdbf0b.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/596250/thumber_11390062.v.4664d1bce8f7f7b8d4dbe59764bdbf0b.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/596250/slide_11390062.v.4664d1bce8f7f7b8d4dbe59764bdbf0b.jpg,/on/toronto/rentals/apartment/1-bedroom/596250,43.726234500000,-79.459527500000,deb17999ebacf601f3d444e0b74dcc33,5-31 York Garden Way,False,Toronto,Ontario,5-31 York Garden Way,,,6474901649,,Phone||Text||Email,https://www.sloanelife.ca/?utm_knock=rentalsca,1,,Long Term,,active,,3,RSYNC,2,studio - 3,No,1 - 2,False,False,False,
5,309234,104722,309234,York Mills and Leslie Apartments - Newly Renovated Suites in North York,2399 - 2899,Apartment,,Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309234/thumber_10427118.v.020c4565d4fba5cf1a41a00da18127a9.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309234/thumber_10427118.v.020c4565d4fba5cf1a41a00da18127a9.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309234/slide_10427118.v.020c4565d4fba5cf1a41a00da18127a9.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/309234,43.753879096272,-79.361538014819,61c2d5df6a03777948d9c28ccfa97227,750 York Mills Road,False,Toronto,Ontario,750 York Mills Road,,,3656546033,,Phone||Text||Email,https://www.mintoapartments.com/gta/North-York-apartment-rentals/York-Mills-and-Leslie/main.html?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=York%20Mills%20and%20Leslie,1,Non-Smoking,Long Term,outdoor,active,,3,RSYNC,2,1 - 2,No,1,True,True,"['Heat', 'Water']","['Laundry - Shared', 'Fridge', 'Oven/Stove', 'Dishwasher']"
6,309240,104722,309240,,2418 - 3123,Apartment,,Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309240/thumber_11338405.v.96b0cd3e2499c99a9614082331b38413.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309240/thumber_11338405.v.96b0cd3e2499c99a9614082331b38413.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/309240/slide_11338405.v.96b0cd3e2499c99a9614082331b38413.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/309240,43.709123600000,-79.394385200000,bf4b0e44e9393688d56a4123216df870,150 Roehampton Avenue,False,Toronto,Ontario,150 Roehampton Avenue,,,3656546620,,Phone||Text||Email,https://www.mintoapartments.com/gta/Toronto-apartment-rentals/The-ROE/main.html?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=The%20ROE,1,Non-Smoking,Long Term,covered,active,,3,RSYNC,2,1 - 2,No,1,True,True,['Heat'],"['Air Conditioning', 'Dishwasher', 'Laundry - In Suite', 'Zero-Step Entrance']"
7,365942,104722,365942,"Luxury, Pet-Friendly Apartments in King West Toronto",2099 - 5157,Apartment,,Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/365942/thumber_10427119.v.ef8a8ca86e861b132da17e886806f0ba.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/365942/thumber_10427119.v.ef8a8ca86e861b132da17e886806f0ba.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/365942/slide_10427119.v.ef8a8ca86e861b132da17e886806f0ba.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/365942,43.641614858072,-79.400881150926,429def51575aa664b6d592c44f16b523,39 Niagara Street,False,Toronto,Ontario,39 Niagara Street,,,3656546565,,Phone||Text||Email,https://www.mintoapartments.com/gta/Downtown-Toronto-apartment-rentals/39-Niagara/main.html?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=39%20Niagara,1,Non-Smoking,Long Term,covered,active,,3,RSYNC,2,studio - 3,"No, Yes",1 - 2.5,True,True,['Heat'],"['Elevator', 'Fridge', 'Oven/Stove', 'Balcony']"
8,582108,1910071,582108,Maddox Sherbourne,2275 - 3200,Apartment,"813, 640, 795, 585, 583, 639, 553, 540, 590, 571, 587, 514, 845, 636, 524, 588, 529, 565, 502, 516, 586, 515, 638",Immediate,"Immediate, January 05, December 05",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/582108/thumber_11387209.v.a29ccb8733ad60ebc5c9df2d0dd3945f.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/582108/thumber_11387209.v.a29ccb8733ad60ebc5c9df2d0dd3945f.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/582108/slide_11387209.v.a29ccb8733ad60ebc5c9df2d0dd3945f.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/582108,43.657726700000,-79.370217400000,a03739d7a5a6a1537008e71b866056a8,191-201 Sherbourne Street,False,Toronto,Ontario,191-201 Sherbourne Street,,,3656555694,,Phone||Text||Email,https://www.maddox.ca/,1,Non-Smoking,Long Term,"underground, outdoor, covered",active,,3,RSYNC,2,1 - 2,No,1,True,True,['Internet'],"['Elevator', 'Laundry - Shared', 'Storage Lockers', 'Zero-Step Entrance']"
9,568787,64025,568787,Elm-Ledbury,2850 - 5900,Apartment,"641, 1005, 799, 515, 846, 1150, 721, 809, 540, 492, 1079, 589, 571, 924, 1085, 784, 964, 572, 850, 974, 892, 662, 503, 705, 868, 471, 883, 559, 1291, 816, 1002, 788, 993, 858, 1065, 1157, 1102, 954, 509",Immediate,"Immediate, November 25, December 06, December 10, December 20, January 07, January 11, January 01, December 01, December 15, November 30, December 28, December 21",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/568787/thumber_10268315.v.d86df21522fe9c900081581c0deb5562.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/568787/thumber_10268315.v.d86df21522fe9c900081581c0deb5562.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/568787/slide_10268315.v.d86df21522fe9c900081581c0deb5562.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/568787,43.654261900000,-79.374890000000,18dce33137c4c91084250946aa0eb72b,25 Dalhousie Street and 30 Mutual Street,False,Toronto,Ontario,25 Dalhousie Street and 30 Mutual Street,,,6476921364,,Phone||Text||Email,https://www.ElmLedbury.ca/?utm_knock=rentalsca,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,No,1 - 2,True,True,['Internet'],"['Elevator', 'Storage Lockers', 'Zero-Step Entrance', 'Air Conditioning']"
