,ref_id,userId,id,title,price,type,sq_feet,availability,avdate,location,thumb,thumb2,slide,link,latitude,longitude,marker,address,address_hidden,city,province,intro,community,quadrant,phone,phone_2,preferred_contact,website,email,smoking,lease_term,garage_size,status,book_tour,v,s,f,bedrooms,den,baths,cats,dogs,utilities_included,features
0,538223,392496,538223,IMMIX,2615 - 5175,Apartment,"700, 444, 460, 506, 693, 873, 610, 463, 664, 842, 500, 691, 959, 692",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/538223/thumber_10992869.v.b7df3ee4ae43b7ea011c90f0bde575bf.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/538223/thumber_10992869.v.b7df3ee4ae43b7ea011c90f0bde575bf.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/538223/slide_10992869.v.b7df3ee4ae43b7ea011c90f0bde575bf.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/538223,43.662642300000,-79.384847600000,2bd84b95b4821fa04cc144eab3704776,7 Grosvenor Street,False,Toronto,Ontario,7 Grosvenor Street,,,6479513739,,Phone||Text||Email,https://www.rentimmix.ca/,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,"No, Yes",1 - 3,True,True,False,
1,523076,1776878,523076,LNX,2390 - 3630,Apartment,"665, 661, 832, 651, 517, 568, 580, 744, 680, 668, 829, 577, 553, 556, 674, 778, 544, 637, 738, 783",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/523076/thumber_9853245.v.1458c626a3868a13e881edc4bc42a895.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/523076/thumber_9853245.v.1458c626a3868a13e881edc4bc42a895.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/523076/slide_9853245.v.1458c626a3868a13e881edc4bc42a895.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/523076,43.657960500000,-79.451841800000,e7c91e1baaac34620ea474f029a14412,2376 Dundas Street West,False,Toronto,Ontario,2376 Dundas Street West,,,2893075247,,Phone||Text||Email,http://www.lnxrentals.com,1,Smoke Free Building,Long Term,,active,https://tourswidget.rentsync.com?buildingId=245251&source=syndication&fullSource=rentals_infinity&isRentalsBundle=1,3,RSYNC,2,1 - 2,"No, Yes",1 - 2,True,True,False,['Storage Lockers']
2,542973,1343758,542973,The Ivy,2506 - 5009,Apartment,"453, 463, 534, 606, 689, 745, 888, 799",Immediate,"Immediate, February 07, December 07, March 07, January 07",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/542973/thumber_11149879.v.f63f0b2e45ba69e3b73d6cc6222ea3f6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/542973/thumber_11149879.v.f63f0b2e45ba69e3b73d6cc6222ea3f6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/542973/slide_11149879.v.f63f0b2e45ba69e3b73d6cc6222ea3f6.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/542973,43.666902900000,-79.384866900000,9c09d167edeb5b4df438e2df4fc4478e,8 Gloucester Street,False,Toronto,Ontario,8 Gloucester Street,,,3658045297,,Phone||Text||Email,https://triconresidential.com/apartment/the-ivy/?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=The%20Ivy,1,,Long Term,underground,active,,3,RSYNC,2,1 - 3,No,1 - 2,True,True,False,"['Elevator', 'Zero-Step Entrance', 'Fridge', 'Oven/Stove']"
3,417884,440492,417884,90 Eastdale,1500 - 2739,Apartment,"700, 899, 1286, 630, 373",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/417884/thumber_11361739.v.2c36e6887a5d1e45c1ac25f14c4733e7.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/417884/thumber_11361739.v.2c36e6887a5d1e45c1ac25f14c4733e7.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/417884/slide_11361739.v.2c36e6887a5d1e45c1ac25f14c4733e7.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/417884,43.694578600000,-79.301166600000,e06938cc256a970ec628d74be29d4319,90 Eastdale Avenue,False,Toronto,Ontario,90 Eastdale Avenue,,,2897243926,,Phone||Text||Email,http://dbsdevelopments.ca?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=90%20Eastdale,1,Non-Smoking,Long Term,"outdoor, underground",active,,3,RSYNC,2,studio - 3,No,1 - 1.5,True,True,"['Heat', 'Water']","['Elevator', 'Laundry - Shared', 'Zero-Step Entrance', 'Fridge']"
4,432912,455305,432912,"Upper Canada Court, Centre",1730 - 1950,Apartment,"390, 494, 470",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/432912/thumber_10177442.v.1a538c12cb18feefd75162d7096f5867.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/432912/thumber_10177442.v.1a538c12cb18feefd75162d7096f5867.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/432912/slide_10177442.v.1a538c12cb18feefd75162d7096f5867.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/432912,43.712342500000,-79.393627100000,e1658b12ea5fe7db19826ed125d9b092,140 Erskine Avenue,False,Toronto,Ontario,140 Erskine Avenue,,,2897971581,,Phone||Text||Email,"https://www.homestead.ca/apartments/140-erskine-avenue-toronto?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=Upper%20Canada%20Court,%20Centre",1,Non-Smoking,Long Term,underground,active,https://tourswidget.rentsync.com?buildingId=299&source=syndication&fullSource=rentals_infinity&isRentalsBundle=1,3,RSYNC,2,studio - 1,No,1,True,True,"['Heat', 'Water']","['Elevator', 'Laundry - Shared', 'Fridge', 'Oven/Stove']"
5,582108,1910071,582108,Maddox Sherbourne,2275 - 3200,Apartment,"813, 795, 585, 583, 639, 553, 640, 540, 590, 529, 588, 638, 571, 587, 514, 502, 845, 636, 515, 524, 516, 565, 586, 619, 623",Immediate,"Immediate, January 05, December 05",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/582108/thumber_11486023.v.9dbaf457615f9de1274fcf1d069936b5.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/582108/thumber_11486023.v.9dbaf457615f9de1274fcf1d069936b5.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/582108/slide_11486023.v.9dbaf457615f9de1274fcf1d069936b5.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/582108,43.657720300000,-79.370231600000,a03739d7a5a6a1537008e71b866056a8,191-201 Sherbourne Street,False,Toronto,Ontario,191-201 Sherbourne Street,,,3656555694,,Phone||Text||Email,https://www.maddox.ca/,1,Non-Smoking,Long Term,"underground, outdoor, covered",active,,3,RSYNC,2,1 - 2,No,1,True,True,['Internet'],"['Elevator', 'Laundry - Shared', 'Storage Lockers', 'Zero-Step Entrance']"
6,533268,1343758,533268,Maple House at Canary Landing,2251 - 4492,Apartment,"483, 513, 511, 516, 525, 556, 562, 567, 569, 582, 595, 608, 668, 708, 769, 784, 792, 794, 807, 870, 881, 995, 1005, 1142, 911, 488, 523, 773, 703, 834",Immediate,"Immediate, February 07, January 07, January 20, December 15, December 22",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533268/thumber_11320903.v.4018d635de75943234b4000caf7c3e53.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533268/thumber_11320903.v.4018d635de75943234b4000caf7c3e53.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/533268/slide_11320903.v.4018d635de75943234b4000caf7c3e53.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/533268,43.651403500000,-79.357129700000,46c76e0bc5f97e6f80fbe75ea7c71e78,131 Mill Street,False,Toronto,Ontario,131 Mill Street,,,2898048187,,Phone||Text||Email,http://www.liveatmaplehouse.com?rccustomid=NTUxMTk%3d-Wsjhio0XG7Q%3d,1,,Long Term,underground,active,,3,RSYNC,2,1 - 3,No,1 - 2,True,True,False,"['Elevator', 'Zero-Step Entrance', 'City views', 'Air Conditioning']"
7,596250,64025,596250,Sloane,2025 - 4750,Apartment,"773, 982, 540, 532, 991, 357, 721, 508, 514, 777, 994, 493, 504, 537, 851, 658, 898, 812, 866, 573, 835",Immediate,"Immediate, March 01",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/596250/thumber_11407695.v.7048dcc9628ccf0c33b0af02c189bc58.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/596250/thumber_11407695.v.7048dcc9628ccf0c33b0af02c189bc58.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/596250/slide_11407695.v.7048dcc9628ccf0c33b0af02c189bc58.jpg,/on/toronto/rentals/apartment/1-bedroom/596250,43.726234500000,-79.459527500000,deb17999ebacf601f3d444e0b74dcc33,5-31 York Garden Way,False,Toronto,Ontario,5-31 York Garden Way,,,3656546199,,Phone||Text||Email,https://www.sloanelife.ca/?utm_knock=rentalsca,1,,Long Term,,active,,3,RSYNC,2,studio - 3,No,1 - 2,False,False,False,
8,569606,2039512,569606,Velocity at the Square,1995 - 3725,Apartment,"362, 359, 370, 663, 860, 679, 726, 768, 750, 758, 917, 815",Immediate,Immediate,Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/569606/thumber_10052622.v.65064b2aae650e7575d4762fd9d5689e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/569606/thumber_10052622.v.65064b2aae650e7575d4762fd9d5689e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/569606/slide_10052622.v.65064b2aae650e7575d4762fd9d5689e.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/569606,43.655638500000,-79.379487200000,c45a43d9a0e1f8c28d1fccb54ef3022c,252 Victoria Street,False,Toronto,Ontario,252 Victoria Street,,,4375294369,,Phone||Text||Email,http://www.velocityatthesquare.com,1,,Long Term,"underground, covered",active,,3,RSYNC,2,studio - 2,"No, Yes",1 - 2,True,True,['Heat'],"['Elevator', 'Laundry - Shared', 'Storage Lockers', 'Fridge']"
9,558183,92212,558183,Your New Home Awaits,2400 - 5300,Apartment,"570, 685, 691, 1189",Immediate,"Immediate, January 01",Toronto,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558183/thumber_11462640.v.8aeecdcac2e38fd3fbc06e8145d626d2.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558183/thumber_11462640.v.8aeecdcac2e38fd3fbc06e8145d626d2.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/558183/slide_11462640.v.8aeecdcac2e38fd3fbc06e8145d626d2.jpg,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/558183,43.658327100000,-79.385671200000,fc9d40c16d98cb0495ea82d539c14485,77 & 99 Gerrard Street West,False,Toronto,Ontario,77 & 99 Gerrard Street West,,,3653607501,,Phone||Text||Email,https://www.gerrardwest.com/?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=Gerrard%20West,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,"No, Yes",1 - 2,True,True,False,"['Elevator', 'Laundry - Shared', 'Storage Lockers', 'Zero-Step Entrance']"
